"target_gene_source_value","drug_source_value","interaction_source_value"
"CD28","BELATACEPT","inhibitor"
"CD28","LULIZUMAB PEGOL","antibody"
"CD28","GELDANAMYCIN","[Not Available]"
"CD28","MYCOPHENOLIC ACID","[Not Available]"
"CD28","PHORBOL MYRISTATE ACETATE","[Not Available]"
"CD28","ETRETINATE","[Not Available]"
"CD28","TGN-1412","[Not Available]"
"CCKBR","CI-988","antagonist"
"CCKBR","PENTAGASTRIN","agonist"
"CCKBR","HALOTHANE","agonist"
"CCKBR","CHEMBL269016","agonist"
"CCKBR","ISOTHIPENDYL","agonist"
"CCKBR","DEVAZEPIDE","antagonist"
"CCKBR","CHEMBL329305","antagonist"
"CCKBR","CHEMBL293226","antagonist"
"CCKBR","L-365260","antagonist"
"CCKBR","L-740093","antagonist"
"CCKBR","LORGLUMIDE","antagonist"
"CCKBR","CHEMBL515288","antagonist"
"CCKBR","CHEMBL289498","antagonist"
"CCKBR","Netazepide","antagonist"
"CCKBR","MORPHINE","[Not Available]"
"CCKBR","ITRIGLUMIDE","antagonist"
"CCKBR","PD-170292","agonist"
"CCKBR","CERULETIDE","agonist"
"CCKBR","DIAZEPAM","[Not Available]"
"CCKBR","INOSITOL","[Not Available]"
"PKD2L1","cA2","activator"
"PKD2L1","CITRIC ACID","activator"
"PKD2L1","MALIC ACID","activator"
"PKD2L1","AMILORIDE","channel blocker"
"PKD2L1","BENZAMIL","channel blocker"
"PKD2L1","5-(N-ETHYL-N-ISOPROPYL)AMILORIDE","channel blocker"
"PKD2L1","FLUFENAMIC ACID","channel blocker"
"PKD2L1","PHENAMIL","channel blocker"
"GUCA2B","POLYETHYLENE GLYCOL","[Not Available]"
"GUCA2B","VOLANESORSEN SODIUM","[Not Available]"
"CD69","BENDAMUSTINE","[Not Available]"
"CDC7","NMS-1116354","inhibitor"
"CDC7","CHEMBL524266","inhibitor"
"CDC7","CHEMBL2030402","inhibitor"
"CDC7","RXDX-103","inhibitor"
"CDC7","BMS-863233 (CHEMBL3544943)","inhibitor"
"PSMB5","BORTEZOMIB","inhibitor"
"PSMB5","CARFILZOMIB","inhibitor"
"PSMB5","IXAZOMIB","inhibitor"
"PSMB5","OPROZOMIB","inhibitor"
"PSMB5","IXAZOMIB CITRATE","inhibitor"
"PSMB5","MARIZOMIB","inhibitor"
"BCAR1","CELECOXIB","[Not Available]"
"IGSF10","PYRIDOXAL PHOSPHATE","cofactor"
"UMPS","CHEMBL383923","[Not Available]"
"UMPS","TEGAFUR","[Not Available]"
"NTF3","IBUDILAST","[Not Available]"
"NTF3","DACTINOMYCIN","[Not Available]"
"NTF3","INTERFERON BETA","[Not Available]"
"NTF3","CAPSAICIN","[Not Available]"
"NTF3","COLCHICINE","[Not Available]"
"NTF3","CYCLOPHOSPHAMIDE","[Not Available]"
"NTF3","EPOETIN ALFA","[Not Available]"
"NTF3","GENISTEIN","[Not Available]"
"NTF3","HYDROGEN PEROXIDE","[Not Available]"
"NTF3","INOSITOL","[Not Available]"
"NTF3","NICOTINE","[Not Available]"
"NTF3","NIMODIPINE","[Not Available]"
"NTF3","PHENYTOIN","[Not Available]"
"NTF3","PILOCARPINE","[Not Available]"
"NTF3","RISPERIDONE","[Not Available]"
"NTF3","PHORBOL MYRISTATE ACETATE","[Not Available]"
"NTF3","LIOTHYRONINE SODIUM","[Not Available]"
"NTF3","VINCRISTINE","[Not Available]"
"NTF3","NALOXONE","[Not Available]"
"KCNMB2","MICONAZOLE","inhibitor"
"BCAT1","PYRIDOXAL PHOSPHATE","cofactor"
"BCAT1","L-GLUTAMATE","[Not Available]"
"BCAT1","LEUCINE","[Not Available]"
"BCAT1","VALINE","[Not Available]"
"BCAT1","ISOLEUCINE","[Not Available]"
"BCAT1","CHEMBL1231666","[Not Available]"
"MB","BILIVERDIN","[Not Available]"
"MB","DEXTROSE","[Not Available]"
"MB","METHYLETHYLAMINE","[Not Available]"
"MB","1-METHYLIMIDAZOLE","[Not Available]"
"MB","CHEMBL1230309","[Not Available]"
"ABCG1","ADENOSINE TRIPHOSPHATE","[Not Available]"
"CHRNA3","LEVAMISOLE","agonist"
"CHRNA3","PENTOLINIUM","antagonist"
"CHRNA3","LEVOMETHADYL ACETATE","antagonist"
"CHRNA3","VARENICLINE","partial agonist"
"CHRNA3","CYTISINE","agonist"
"CHRNA3","TC-6499","agonist"
"CHRNA3","LARAZOTIDE ACETATE","partial agonist"
"CHRNA3","MECAMYLAMINE HYDROCHLORIDE","[Not Available]"
"CHRNA3","TRIMETHAPHAN CAMSYLATE","antagonist"
"CHRNA3","PENTOLINIUM TARTRATE","antagonist"
"CHRNA3","ASM-024","antagonist"
"SPINT1","SURAMIN","[Not Available]"
"FABP6","CHOLIC ACID","[Not Available]"
"FABP6","GLYCOCHOLIC ACID","[Not Available]"
"FABP6","TAUROCHOLIC ACID","[Not Available]"
"SLC5A11","PHLORIZIN","inhibitor"
"PSMA8","IXAZOMIB CITRATE","inhibitor"
"PSMA8","OPROZOMIB","inhibitor"
"PSMA8","MARIZOMIB","inhibitor"
"PSMA8","CARFILZOMIB","inhibitor"
"PSMA8","BORTEZOMIB","inhibitor"
"GHSR","ULIMORELIN HYDROCHLORIDE","agonist"
"GHSR","LORAZEPAM","antagonist"
"GHSR","ANAMORELIN HYDROCHLORIDE","agonist"
"GHSR","MACIMORELIN","agonist"
"GHSR","ANAMORELIN","stimulator"
"GHSR","TABIMORELIN","agonist"
"IDH3A","CHEMBL1161866","[Not Available]"
"MYCN","TRETINOIN","[Not Available]"
"MYCN","BUTHIONINE SULFOXIMINE","[Not Available]"
"MYCN","CYCLOPHOSPHAMIDE","[Not Available]"
"MYCN","ETOPOSIDE","[Not Available]"
"MYCN","PIRARUBICIN","[Not Available]"
"MYCN","VINCRISTINE","[Not Available]"
"MYCN","ERISMODEGIB","[Not Available]"
"MYCN","ARSENIC TRIOXIDE","[Not Available]"
"MYCN","DINUTUXIMAB","[Not Available]"
"IGF1R","GANITUMAB","c(""antagonist"", ""antibody"", ""inhibitor"")"
"IGF1R","PICROPODOPHYLLOTOXIN","inhibitor"
"IGF1R","BMS-754807","inhibitor"
"IGF1R","LINSITINIB","inhibitor"
"IGF1R","AEW-541","inhibitor"
"IGF1R","DALOTUZUMAB","c(""antagonist"", ""antibody"", ""inhibitor"")"
"IGF1R","INSULIN HUMAN","[Not Available]"
"IGF1R","INSULIN GLARGINE","agonist"
"IGF1R","CHEMBL1230989","[Not Available]"
"IGF1R","XL-228","inhibitor"
"IGF1R","CIXUTUMUMAB","c(""antagonist"", ""antibody"")"
"IGF1R","RINFABATE","[Not Available]"
"IGF1R","INSM-18","inhibitor"
"IGF1R","CHEMBL263143","[Not Available]"
"IGF1R","CHEMBL397666","[Not Available]"
"IGF1R","EMACTUZUMAB","antibody"
"IGF1R","AZD-4547","inhibitor"
"IGF1R","CHEMBL401930","inhibitor"
"IGF1R","BRIGATINIB","inhibitor"
"IGF1R","CERITINIB","inhibitor"
"IGF1R","CHEMBL464552","inhibitor"
"IGF1R","CHEMBL458997","inhibitor"
"IGF1R","DIMETHISTERONE","inhibitor"
"IGF1R","THROMBIN","[Not Available]"
"IGF1R","BIIB-022","antibody"
"IGF1R","AVE-1642","c(""antagonist"", ""antibody"")"
"IGF1R","KW-2450","inhibitor"
"IGF1R","FIGITUMUMAB","c(""antagonist"", ""antibody"", ""inhibitor"")"
"IGF1R","ROBATUMUMAB","c(""antagonist"", ""antibody"")"
